member,district,party,lost_stricken,introduced,committee,floor_calendar,assembly,senate,full_leg,sent_to_gov,vetoed,signed,not_law,total,pct_passed
Fred Thiele,1,Independence,1,0,183,7,1,0,0,0,2,15,194,209,7.18%
Anthony Palumbo,2,Republican,0,0,11,0,0,0,0,0,0,1,11,12,8.33%
L. Dean Murray,3,Republican,3,0,23,0,0,0,0,0,0,1,26,27,3.70%
Steven Englebright,4,Democratic,0,0,222,21,1,0,1,0,1,14,246,260,5.38%
Philip Ramos,6,Democratic,0,0,34,2,0,0,0,0,0,2,36,38,5.26%
Andrew Garbarino,7,Republican,0,0,9,0,0,0,0,0,1,2,10,12,16.67%
Michael J. Fitzpatrick,8,Republican,0,0,47,0,0,0,0,0,0,2,47,49,4.08%
Christine Pellegrino,9,Democratic,0,0,1,0,0,0,0,0,0,2,1,3,66.67%
Kimberly Jean-Pierre,11,Democratic,0,0,11,2,0,0,0,0,0,0,13,13,0.00%
Andrew Raia,12,Republican,1,0,49,0,0,0,0,0,0,0,50,50,0.00%
Charles Lavine,13,Democratic,2,0,46,5,0,0,0,0,1,2,54,56,3.57%
David McDonough,14,Republican,0,0,21,0,0,0,0,0,0,0,21,21,0.00%
Michael Montesano,15,Republican,0,0,36,0,0,0,0,0,0,1,36,37,2.70%
Anthony D'Urso,16,Democratic,0,0,15,2,1,0,0,0,0,6,18,24,25.00%
Earlene Hooper,18,Democratic,0,0,23,3,0,0,0,0,1,2,27,29,6.90%
Ed Ra,19,Republican,3,0,23,0,0,0,0,0,0,3,26,29,10.34%
Melissa Miller,20,Republican,0,0,12,2,0,0,0,0,0,1,14,15,6.67%
Brian F. Curran,21,Republican,0,0,68,0,0,0,0,0,0,3,68,71,4.23%
Michaelle C. Solages,22,Democratic,0,0,53,5,0,0,0,0,0,0,58,58,0.00%
Stacey Pheffer Amato,23,Democratic,0,0,16,1,0,0,0,0,0,4,17,21,19.05%
David Weprin,24,Democratic,0,0,179,12,0,0,0,0,2,8,193,201,3.98%
Nily Rozic,25,Democratic,0,0,74,8,1,0,0,0,0,2,83,85,2.35%
Edward Braunstein,26,Democratic,0,0,56,4,2,0,0,0,0,1,62,63,1.59%
Daniel Rosenthal,27,Democratic,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
Andrew Hevesi,28,Democratic,1,0,52,5,1,0,0,0,0,4,59,63,6.35%
Alicia Hyndman,29,Democratic,0,0,20,1,0,0,0,0,0,5,21,26,19.23%
Brian Barnwell,30,Democratic,0,0,25,1,0,0,0,0,0,0,26,26,0.00%
Michele Titus,31,Democratic,0,0,68,9,0,0,0,0,0,1,77,78,1.28%
Vivian Cook,32,Democratic,0,0,37,2,0,0,0,0,1,0,40,40,0.00%
Clyde Vanel,33,Democratic,1,0,16,0,0,0,0,0,0,0,17,17,0.00%
Michael DenDekker,34,Democratic,2,0,112,2,0,0,0,0,0,5,116,121,4.13%
Jeffrion Aubry,35,Democratic,0,0,53,6,0,0,0,0,0,1,59,60,1.67%
Aravella Simotas,36,Democratic,0,0,63,6,0,0,0,0,1,5,70,75,6.67%
Catherine Nolan,37,Democratic,0,0,35,3,1,0,0,0,1,7,40,47,14.89%
Michael G. Miller,38,Democratic,0,0,85,0,0,0,0,0,0,1,85,86,1.16%
Ron Kim,40,Democratic,0,0,33,0,1,0,0,0,1,1,35,36,2.78%
Helene Weinstein,41,Democratic,13,0,8,22,4,0,0,0,0,5,47,52,9.62%
Rodneyse Bichotte,42,Democratic,0,0,53,3,3,0,0,0,1,2,60,62,3.23%
Diana Richardson,43,Democratic,0,0,33,5,0,0,0,0,0,2,38,40,5.00%
Robert Carroll,44,Democratic,1,0,32,2,0,0,0,0,0,1,35,36,2.78%
Steven Cymbrowitz,45,Democratic,0,0,70,12,0,0,0,0,1,1,83,84,1.19%
Pamela Harris,46,Democratic,0,0,18,5,0,0,0,0,0,1,23,24,4.17%
William Colton,47,Democratic,0,0,58,1,0,0,0,0,0,1,59,60,1.67%
Dov Hikind,48,Democratic,0,0,2,0,0,0,0,0,0,1,2,3,33.33%
Peter Abbate,49,Democratic,0,0,78,6,0,0,0,0,10,14,94,108,12.96%
Joseph Lentol,50,Democratic,0,0,122,10,0,0,0,0,1,1,133,134,0.75%
Félix Ortiz,51,Democratic,0,0,197,3,0,0,0,0,1,6,201,207,2.90%
Jo Anne Simon,52,Democratic,0,0,40,2,0,0,0,0,2,2,44,46,4.35%
Maritza Davila,53,Democratic,1,0,5,3,0,0,0,0,0,0,9,9,0.00%
Erik Dilan,54,Democratic,0,0,9,4,0,0,0,0,0,0,13,13,0.00%
Latrice Walker,55,Democratic,0,0,41,6,0,0,0,0,0,2,47,49,4.08%
Tremaine Wright,56,Democratic,0,0,7,4,0,0,0,0,0,0,11,11,0.00%
Walter T. Mosley,57,Democratic,4,0,34,4,0,0,0,0,0,1,42,43,2.33%
