senator,district,party,conference,lost_stricken,introduced,committee,floor_calendar,assembly,senate,full_leg,sent_to_gov,vetoed,signed,not_law,total
Kenneth P. LaValle,1,Republican,Republican,1,0,215,15,0,3,0,0,7,20,241,261
John J. Flanagan,2,Republican,Republican,0,0,19,1,0,2,0,0,0,5,22,27
Thomas Croci,3,Republican,Republican,0,0,65,0,0,0,0,0,0,0,65,65
Philip M. Boyle,4,Republican,Republican,2,0,95,4,0,0,0,0,1,8,102,110
Carl L. Marcellino,5,Republican,Republican,2,0,93,10,0,1,0,0,1,12,107,119
Kemp Hannon,6,Republican,Republican,0,0,105,8,0,0,0,0,7,29,120,149
Elaine Phillips,7,Republican,Republican,0,0,31,2,0,0,0,0,2,6,35,41
John Brooks,8,Democratic,Democratic,0,0,28,2,0,0,0,0,0,0,30,30
Todd Kaminsky,9,Democratic,Democratic,2,0,39,0,0,0,0,0,0,2,41,43
"James Sanders, Jr.",10,Democratic,Democratic,0,0,150,1,0,0,0,0,0,0,151,151
Tony Avella,11,Democratic,IDC,4,0,322,19,0,1,0,0,1,11,347,358
Michael N. Gianaris,12,Democratic,Democratic,0,0,65,0,0,0,0,0,0,0,65,65
Jose Peralta,13,Democratic,IDC,4,0,97,4,0,3,0,0,0,4,108,112
Leroy Comrie,14,Democratic,Democratic,0,0,95,3,0,0,0,0,0,3,98,101
"Joseph P. Addabbo, Jr.",15,Democratic,Democratic,0,0,50,2,0,0,0,0,0,1,52,53
Toby Ann Stavisky,16,Democratic,Democratic,1,0,46,0,0,0,0,0,0,0,47,47
Simcha Felder,17,Democratic,Republican,3,0,28,3,0,2,0,0,1,5,37,42
Martin Malave Dilan,18,Democratic,Democratic,1,0,75,1,0,0,0,0,0,1,77,78
Roxane Persaud,19,Democratic,Democratic,0,0,24,1,0,0,0,0,0,0,25,25
Jesse Hamilton,20,Democratic,IDC,1,0,87,7,0,0,0,0,1,9,96,105
Kevin S. Parker,21,Democratic,Democratic,0,0,425,0,0,0,0,0,2,2,427,429
Martin J. Golden,22,Republican,Republican,1,0,238,11,0,2,0,0,5,24,257,281
Diane Savino,23,Democratic,IDC,1,0,67,2,0,0,0,0,2,11,72,83
Andrew J. Lanza,24,Republican,Republican,0,0,192,14,0,0,0,0,4,13,210,223
Velmanette Montgomery,25,Democratic,Democratic,0,0,67,1,0,0,0,0,0,2,68,70
Brian Kavanagh,26,Democratic,Democratic,0,0,0,0,0,0,0,0,0,0,0,0
Brad Hoylman,27,Democratic,Democratic,6,0,164,3,0,0,0,0,0,0,173,173
Liz Krueger,28,Democratic,Democratic,2,0,136,0,0,0,0,0,0,1,138,139
Jose M. Serrano,29,Democratic,Democratic,0,0,61,2,0,0,0,0,1,3,64,67
Brian Benjamin,30,Democratic,Democratic,0,0,4,0,0,0,0,0,0,1,4,5
Marisol Alcantara,31,Democratic,IDC,1,0,146,3,0,0,0,0,2,8,152,160
Gustavo Rivera,33,Democratic,Democratic,2,0,45,1,0,0,0,0,1,2,49,51
Jeffrey D. Klein,34,Democratic,IDC,0,0,49,13,0,0,0,0,2,8,64,72
Andrea Stewart-Cousins,35,Democratic,Democratic,2,0,26,0,0,0,0,0,0,7,28,35
Jamaal Bailey,36,Democratic,Democratic,4,0,82,0,0,0,0,0,1,3,87,90
David Carlucci,38,Democratic,IDC,0,0,189,7,0,1,0,0,1,10,198,208
"William J. Larkin, Jr.",39,Republican,Republican,2,0,26,3,0,1,0,0,3,7,35,42
Terrence P. Murphy,40,Republican,Republican,2,0,77,9,0,0,0,0,4,13,92,105
Susan J. Serino,41,Republican,Republican,0,0,43,4,0,2,0,0,2,12,51,63
John J. Bonacic,42,Republican,Republican,1,0,73,19,0,1,0,0,1,11,95,106
Kathleen A. Marchione,43,Republican,Republican,4,0,82,9,0,1,0,0,1,16,97,113
Neil Breslin,44,Democratic,Democratic,0,0,37,0,0,0,0,0,2,5,39,44
Betty Little,45,Republican,Republican,2,0,76,11,0,3,1,0,1,9,94,103
"George A. Amedore, Jr.",46,Republican,Republican,0,0,47,4,0,2,0,0,1,11,54,65
Joseph Griffo,47,Republican,Republican,2,0,89,5,0,3,0,0,3,13,102,115
Patty Ritchie,48,Republican,Republican,2,0,195,5,0,3,0,0,3,11,208,219
Jim Tedisco,49,Republican,Republican,0,0,96,3,0,0,0,0,1,8,100,108
John DeFrancisco,50,Republican,Republican,0,0,72,1,0,0,0,0,4,7,77,84
James Seward,51,Republican,Republican,4,0,97,3,0,1,0,0,3,14,108,122
Fred Akshar,52,Republican,Republican,0,0,60,2,0,1,0,0,2,14,65,79
David Valesky,53,Democratic,IDC,4,0,54,2,0,1,0,0,1,10,62,72
Pam Helming,54,Republican,Republican,2,0,63,2,1,1,0,0,1,10,70,80
Rich Funke,55,Republican,Republican,0,0,113,11,0,4,0,0,2,5,130,135
Joseph Robach,56,Republican,Republican,0,0,63,4,0,1,0,0,2,6,70,76
Catharine Young,57,Republican,Republican,10,0,144,7,0,2,0,0,1,10,164,174
Tom O'Mara,58,Republican,Republican,0,0,33,5,0,2,0,0,3,4,43,47
Patrick Gallivan,59,Republican,Republican,4,0,109,7,0,1,0,0,5,21,126,147
Chris Jacobs,60,Republican,Republican,0,0,32,5,0,0,0,0,1,4,38,42
Michael H. Ranzenhofer,61,Republican,Republican,0,0,81,7,0,1,0,0,1,16,90,106
Robert G. Ortt,62,Republican,Republican,0,0,114,15,0,2,0,0,4,13,135,148
Timothy M. Kennedy,63,Democratic,Democratic,0,0,117,2,0,0,0,0,0,3,119,122
